kepid,teff,radius,ra,dec,kmag,koi_time0bk,koi_impact,koi_period,koi_duration,koi_disposition
10002952,5162,0.71,287.95712,46.986389,13.103,0,0,0,0,NEGATIVE
10002966,5663,0.834,287.9657,46.963531,14.146,0,0,0,0,NEGATIVE
10002969,6260,1.054,287.96765,46.968571,13.728,0,0,0,0,NEGATIVE
10003014,6267,0.935,287.99698,46.983421,14.009,0,0,0,0,NEGATIVE
10003034,5063,0.747,288.00208,46.95356,12.373,0,0,0,0,NEGATIVE
10003039,5195,2.585,288.0036,46.985401,11.252,0,0,0,0,NEGATIVE
10003058,6408,1.104,288.01013,46.978519,13.47,0,0,0,0,NEGATIVE
10003062,5383,0.763,288.01428,46.964939,13.477,0,0,0,0,NEGATIVE
10003087,6322,1.07,288.02246,46.966831,13.852,0,0,0,0,NEGATIVE
10003144,4544,0.846,288.05023,46.974178,12.834,0,0,0,0,NEGATIVE
10003146,5279,2.563,288.05072,46.972599,11.188,0,0,0,0,NEGATIVE
10003161,5503,0.795,288.0607,46.941219,14.157,0,0,0,0,NEGATIVE
10003179,6321,1.068,288.06732,46.993031,13.863,0,0,0,0,NEGATIVE
10003211,6547,1.411,288.08325,46.921959,13.976,0,0,0,0,NEGATIVE
10003213,5525,0.799,288.08417,46.904228,13.449,0,0,0,0,NEGATIVE
10003228,5902,0.949,288.09467,46.924622,13.56,0,0,0,0,NEGATIVE
10003233,5780,1.0,288.09744,46.930614,11.583,0,0,0,0,NEGATIVE
10003242,5549,0.951,288.10342,46.911381,13.973,0,0,0,0,NEGATIVE
10003243,4743,0.656,288.10413,46.948051,13.26,0,0,0,0,NEGATIVE
10003258,6006,0.938,288.11111,46.990822,13.43,0,0,0,0,NEGATIVE
10003262,4832,0.679,288.11469,46.909851,12.706,0,0,0,0,NEGATIVE
10003270,6595,1.645,288.11841,46.974731,10.241,0,0,0,0,NEGATIVE
10003298,4543,0.609,288.13147,46.97467,11.012,0,0,0,0,NEGATIVE
10003342,5183,1.747,288.15607,46.948372,11.462,0,0,0,0,NEGATIVE
10003349,6863,9.276,288.15833,46.941929,10.502,0,0,0,0,NEGATIVE
10003403,6050,0.953,288.18649,46.91906,13.775,0,0,0,0,NEGATIVE
10003419,4998,8.733,288.19559,46.981609,9.397,0,0,0,0,NEGATIVE
10003429,6050,0.958,288.20374,46.901451,12.325,0,0,0,0,NEGATIVE
10003448,4951,0.712,288.21503,46.991581,12.552,0,0,0,0,NEGATIVE
10003452,6126,1.003,288.21686,46.924599,13.057,0,0,0,0,NEGATIVE
10003464,5343,3.086,288.22571,46.98494,11.767,0,0,0,0,NEGATIVE
10003491,5230,0.775,288.24478,46.954811,13.79,0,0,0,0,NEGATIVE
10003497,4923,9.703,288.24704,46.91637,9.521,0,0,0,0,NEGATIVE
10003524,6753,2.031,288.25851,46.950588,9.989,0,0,0,0,NEGATIVE
10003533,5058,0.746,288.26428,46.92477,13.39,0,0,0,0,NEGATIVE
10003537,6372,1.923,288.26761,46.958141,10.198,0,0,0,0,NEGATIVE
10003561,5468,0.906,288.27451,46.984241,13.839,0,0,0,0,NEGATIVE
10003568,5188,0.799,288.27652,46.950508,13.96,0,0,0,0,NEGATIVE
10003574,6532,1.303,288.28043,46.951038,12.383,0,0,0,0,NEGATIVE
10003593,5896,1.0,288.28766,46.92157,11.889,0,0,0,0,NEGATIVE
10003595,4254,0.68,288.28781,46.974869,12.591,0,0,0,0,NEGATIVE
10003599,4599,0.621,288.28915,46.908829,12.428,0,0,0,0,NEGATIVE
10003601,5180,0.787,288.2915,46.943619,13.42,0,0,0,0,NEGATIVE
10003610,6143,1.191,288.29663,46.914249,12.635,0,0,0,0,NEGATIVE
10003638,6197,1.014,288.3092,46.935089,13.925,0,0,0,0,NEGATIVE
10003649,5495,0.793,288.31256,46.920361,13.583,0,0,0,0,NEGATIVE
10003650,7473,2.011,288.31259,46.993252,11.716,0,0,0,0,NEGATIVE
10003658,3186,189.412,288.31479,46.98217,2.0,0,0,0,0,NEGATIVE
10003665,5164,0.711,288.319,46.999699,13.181,0,0,0,0,NEGATIVE
10003742,6007,0.994,288.34738,46.913189,13.688,0,0,0,0,NEGATIVE
10003746,6275,1.423,288.34845,46.969379,11.856,0,0,0,0,NEGATIVE
10003810,6968,1.402,288.37662,46.95998,13.455,0,0,0,0,NEGATIVE
10003833,6227,1.023,288.38873,46.963699,13.082,0,0,0,0,NEGATIVE
10003906,6063,0.96,288.43243,46.981049,13.308,0,0,0,0,NEGATIVE
10003926,5788,0.868,288.44275,46.965401,13.621,0,0,0,0,NEGATIVE
10003934,6263,1.04,288.44608,46.993599,13.755,0,0,0,0,NEGATIVE
10004003,5780,1.0,288.48706,46.991428,10.905,0,0,0,0,NEGATIVE
10004188,5780,1.0,288.57581,46.909798,9.342,0,0,0,0,NEGATIVE
10004298,5319,0.556,288.63101,46.93977,13.658,0,0,0,0,NEGATIVE
10004332,5780,1.0,288.65292,46.912914,12.542,0,0,0,0,NEGATIVE
10004407,3724,0.484,288.69058,46.913929,12.047,0,0,0,0,NEGATIVE
10004453,4992,0.725,288.70621,46.931862,12.217,0,0,0,0,NEGATIVE
10000009,6852,1.651,286.25488,46.963791,10.573,0,0,0,0,NEGATIVE
10000069,5925,0.913,286.28568,46.94096,13.84,0,0,0,0,NEGATIVE
10000083,6142,1.097,286.29535,46.973221,13.702,0,0,0,0,NEGATIVE
10000090,6113,0.979,286.29883,46.94566,13.661,0,0,0,0,NEGATIVE
100000925,5780,1.0,,,,0,0,0,0,NEGATIVE
100000926,5780,1.0,,,,0,0,0,0,NEGATIVE
100000927,5780,1.0,,,,0,0,0,0,NEGATIVE
100000928,5780,1.0,,,,0,0,0,0,NEGATIVE
100000929,5780,1.0,,,,0,0,0,0,NEGATIVE
100000930,5780,1.0,,,,0,0,0,0,NEGATIVE
100000931,5780,1.0,,,,0,0,0,0,NEGATIVE
100000932,5780,1.0,,,,0,0,0,0,NEGATIVE
100000933,5780,1.0,,,,0,0,0,0,NEGATIVE
100000934,5780,1.0,,,,0,0,0,0,NEGATIVE
100000935,5780,1.0,,,,0,0,0,0,NEGATIVE
100000936,5780,1.0,,,,0,0,0,0,NEGATIVE
100000937,5780,1.0,,,,0,0,0,0,NEGATIVE
100000938,5780,1.0,,,,0,0,0,0,NEGATIVE
100000939,5780,1.0,,,,0,0,0,0,NEGATIVE
100000940,5780,1.0,,,,0,0,0,0,NEGATIVE
100000941,5780,1.0,,,,0,0,0,0,NEGATIVE
100000942,5780,1.0,,,,0,0,0,0,NEGATIVE
100000943,5780,1.0,,,,0,0,0,0,NEGATIVE
100000944,5780,1.0,,,,0,0,0,0,NEGATIVE
100000945,5780,1.0,,,,0,0,0,0,NEGATIVE
100000946,5780,1.0,,,,0,0,0,0,NEGATIVE
100000947,5780,1.0,,,,0,0,0,0,NEGATIVE
100000948,5780,1.0,,,,0,0,0,0,NEGATIVE
100000949,5780,1.0,,,,0,0,0,0,NEGATIVE
100000950,5780,1.0,,,,0,0,0,0,NEGATIVE
100000951,5780,1.0,,,,0,0,0,0,NEGATIVE
100000952,5780,1.0,,,,0,0,0,0,NEGATIVE
100000953,5780,1.0,,,,0,0,0,0,NEGATIVE
100000954,5780,1.0,,,,0,0,0,0,NEGATIVE
100000955,5780,1.0,,,,0,0,0,0,NEGATIVE
100000956,5780,1.0,,,,0,0,0,0,NEGATIVE
100000957,5780,1.0,,,,0,0,0,0,NEGATIVE
100000958,5780,1.0,,,,0,0,0,0,NEGATIVE
100000959,5780,1.0,,,,0,0,0,0,NEGATIVE
100000960,5780,1.0,,,,0,0,0,0,NEGATIVE
100000961,5780,1.0,,,,0,0,0,0,NEGATIVE
100000962,5780,1.0,,,,0,0,0,0,NEGATIVE
100000963,5780,1.0,,,,0,0,0,0,NEGATIVE
100000964,5780,1.0,,,,0,0,0,0,NEGATIVE
10000108,5101,4.858,286.30579,46.989899,11.137,0,0,0,0,NEGATIVE
100001133,5780,1.0,,,,0,0,0,0,NEGATIVE
100001134,5780,1.0,,,,0,0,0,0,NEGATIVE
10000135,6753,1.561,286.32068,46.935371,11.267,0,0,0,0,NEGATIVE
100001473,5780,1.0,,,,0,0,0,0,NEGATIVE
100001474,5780,1.0,,,,0,0,0,0,NEGATIVE
10000151,5003,0.728,286.32739,46.901058,11.936,0,0,0,0,NEGATIVE
10000157,5993,0.934,286.32953,46.934391,14.204,0,0,0,0,NEGATIVE
10000162,4900,0.698,286.33545,46.917831,12.83,0,0,0,0,NEGATIVE
100001643,5780,1.0,,,,0,0,0,0,NEGATIVE
100001644,5780,1.0,,,,0,0,0,0,NEGATIVE
100001645,5780,1.0,,,,0,0,0,0,NEGATIVE
10000191,4778,0.681,286.35718,46.922771,14.79,0,0,0,0,NEGATIVE
10000198,5027,0.735,286.36566,46.981289,11.639,0,0,0,0,NEGATIVE
10000207,4948,2.125,286.37442,46.910332,10.172,0,0,0,0,NEGATIVE
10000228,5105,0.722,286.38635,46.956032,12.749,0,0,0,0,NEGATIVE
10000240,5562,0.809,286.396,46.936081,13.015,0,0,0,0,NEGATIVE
10000255,6292,1.18,286.40637,46.983501,11.959,0,0,0,0,NEGATIVE
10000270,5554,0.851,286.41696,46.90638,13.606,0,0,0,0,NEGATIVE
10000279,5008,0.73,286.42197,46.953281,13.623,0,0,0,0,NEGATIVE
10000285,6184,1.008,286.42557,46.97456,13.713,0,0,0,0,NEGATIVE
10000291,6191,1.137,286.42831,46.960941,11.166,0,0,0,0,NEGATIVE
10000300,5693,0.842,286.43311,46.916828,13.008,0,0,0,0,NEGATIVE
10000330,6079,1.013,286.45056,46.943871,12.828,0,0,0,0,NEGATIVE
10000344,6195,1.012,286.45853,46.946209,14.008,0,0,0,0,NEGATIVE
10000441,6222,1.026,286.52597,46.956871,11.782,0,0,0,0,NEGATIVE
10000490,5780,1.0,286.556,46.95734,10.425,0,0,0,0,NEGATIVE
10000500,4456,0.591,286.56323,46.984852,12.46,0,0,0,0,NEGATIVE
10000547,5238,4.335,286.59137,46.950439,10.161,0,0,0,0,NEGATIVE
10000551,6009,0.939,286.59253,46.971809,13.906,0,0,0,0,NEGATIVE
10000612,5923,0.908,286.63501,46.90826,14.046,0,0,0,0,NEGATIVE
10000620,5984,1.201,286.64316,46.943909,11.664,0,0,0,0,NEGATIVE
10000661,4798,0.67,286.66754,46.98661,12.204,0,0,0,0,NEGATIVE
10000672,5780,1.0,286.67401,46.971443,12.562,0,0,0,0,NEGATIVE
10000709,6113,1.041,286.68982,46.942162,13.467,0,0,0,0,NEGATIVE
10000724,6032,1.261,286.69785,46.939419,12.234,0,0,0,0,NEGATIVE
10000766,5780,1.0,286.72214,46.983498,10.964,0,0,0,0,NEGATIVE
10000785,5473,0.826,286.73337,46.967442,13.71,0,0,0,0,NEGATIVE
10000797,6325,1.332,286.73831,46.978222,12.555,0,0,0,0,NEGATIVE
10000800,5649,0.83,286.73962,46.965969,13.664,0,0,0,0,NEGATIVE
10000823,6583,1.187,286.74817,46.91925,13.611,0,0,0,0,NEGATIVE
10000827,5621,0.824,286.74918,46.957829,13.113,0,0,0,0,NEGATIVE
10000876,5156,0.779,286.78625,46.95953,12.481,0,0,0,0,NEGATIVE
10000939,4423,0.585,286.81775,46.95644,13.247,0,0,0,0,NEGATIVE
10000962,5510,0.796,286.83017,46.90826,12.798,0,0,0,0,NEGATIVE
10000976,5568,0.81,286.83771,46.911831,12.889,0,0,0,0,NEGATIVE
10000981,5161,3.258,286.83981,46.95322,11.017,0,0,0,0,NEGATIVE
10001000,4970,0.718,286.85471,46.96188,13.09,0,0,0,0,NEGATIVE
10001002,6435,1.498,286.85583,46.909969,12.046,0,0,0,0,NEGATIVE
10001013,5921,1.175,286.86243,46.94104,12.581,0,0,0,0,NEGATIVE
10001045,6617,2.096,286.88156,46.924252,12.388,0,0,0,0,NEGATIVE
10001085,6032,0.948,286.90878,46.997761,14.293,0,0,0,0,NEGATIVE
10001087,4390,0.618,286.91003,46.96056,14.214,0,0,0,0,NEGATIVE
10001116,5458,0.808,286.93121,46.921951,12.231,0,0,0,0,NEGATIVE
10001129,5029,0.682,286.93765,46.983028,13.576,0,0,0,0,NEGATIVE
10001142,5276,0.737,286.9429,46.95742,13.83,0,0,0,0,NEGATIVE
10001145,7865,2.446,286.94516,46.90519,11.014,0,0,0,0,NEGATIVE
10001154,4474,0.594,286.948,46.91293,6.215,0,0,0,0,NEGATIVE
10001167,4941,14.265,286.95575,46.936619,7.747,0,0,0,0,NEGATIVE
10001171,5245,0.855,286.95676,46.926281,14.033,0,0,0,0,NEGATIVE
10001198,6043,0.956,286.97223,46.908859,13.088,0,0,0,0,NEGATIVE
10001224,6007,0.938,286.99429,46.997768,13.019,0,0,0,0,NEGATIVE
10001270,6375,1.268,287.02072,46.997059,13.603,0,0,0,0,NEGATIVE
10001276,5780,1.0,287.02698,46.91333,11.55,0,0,0,0,NEGATIVE
10001284,5198,3.054,287.03406,46.992321,10.487,0,0,0,0,NEGATIVE
10001304,6249,1.225,287.04498,46.944271,11.134,0,0,0,0,NEGATIVE
10001305,6245,1.116,287.04547,46.923351,13.764,0,0,0,0,NEGATIVE
10001312,5216,0.724,287.0481,46.911968,13.194,0,0,0,0,NEGATIVE
10001313,4554,0.611,287.04922,46.95446,13.025,0,0,0,0,NEGATIVE
10001322,5804,1.178,287.05685,46.92239,13.191,0,0,0,0,NEGATIVE
10001326,4988,8.036,287.05743,46.92627,10.36,0,0,0,0,NEGATIVE
10001391,6457,1.811,287.09906,46.94986,12.548,0,0,0,0,NEGATIVE
10001440,5167,6.141,287.12598,46.999271,10.774,0,0,0,0,NEGATIVE
10001456,7725,1.929,287.13641,46.97364,13.554,0,0,0,0,NEGATIVE
10001511,5771,0.865,287.1676,46.90097,13.898,0,0,0,0,NEGATIVE
10001547,9307,4.018,287.1915,46.971729,13.057,0,0,0,0,NEGATIVE
10001558,5206,3.314,287.19629,46.926121,9.779,0,0,0,0,NEGATIVE
10001577,6351,1.618,287.20544,46.908401,13.861,0,0,0,0,NEGATIVE
10001584,6198,1.094,287.20996,46.963428,12.524,0,0,0,0,NEGATIVE
10001636,5596,0.963,287.23785,46.992889,13.978,0,0,0,0,NEGATIVE
10001648,5850,0.936,287.24277,46.941502,13.127,0,0,0,0,NEGATIVE
10001658,6208,1.022,287.24628,46.922482,13.429,0,0,0,0,NEGATIVE
10001688,4745,0.656,287.2681,46.959702,13.399,0,0,0,0,NEGATIVE
10001717,5829,0.915,287.28241,46.937809,13.636,0,0,0,0,NEGATIVE
10001728,5456,0.932,287.28983,46.9828,12.912,0,0,0,0,NEGATIVE
10001733,4691,0.643,287.29385,46.998859,12.51,0,0,0,0,NEGATIVE
10001786,5602,1.031,287.32755,46.932171,13.965,0,0,0,0,NEGATIVE
10001796,5203,4.873,287.33371,46.953468,10.587,0,0,0,0,NEGATIVE
10001797,5762,0.862,287.3338,46.90498,14.026,0,0,0,0,NEGATIVE
10001808,5649,0.847,287.3432,46.93158,13.33,0,0,0,0,NEGATIVE
10001809,6126,0.986,287.3436,46.94244,12.356,0,0,0,0,NEGATIVE
10001824,5423,0.918,287.35004,46.90126,13.491,0,0,0,0,NEGATIVE
10001826,7063,1.762,287.35056,46.998829,12.454,0,0,0,0,NEGATIVE
10001866,5777,0.865,287.37357,46.94828,13.041,0,0,0,0,NEGATIVE
10001898,5708,0.856,287.39056,46.986408,13.311,0,0,0,0,NEGATIVE
10001933,6080,0.958,287.40924,46.961979,13.679,0,0,0,0,NEGATIVE
10001935,5167,11.984,287.4097,46.95694,10.656,0,0,0,0,NEGATIVE
10001957,6111,1.009,287.42004,46.952278,13.207,0,0,0,0,NEGATIVE
10001961,5758,0.864,287.422,46.902481,12.961,0,0,0,0,NEGATIVE
10001973,5820,1.008,287.42944,46.968842,13.89,0,0,0,0,NEGATIVE
10001994,5275,4.047,287.43616,46.91544,11.141,0,0,0,0,NEGATIVE
10002025,5453,0.837,287.45081,46.947479,13.822,0,0,0,0,NEGATIVE
10002049,6052,0.954,287.46475,46.96841,13.804,0,0,0,0,NEGATIVE
10002066,6132,0.987,287.47256,46.9879,13.034,0,0,0,0,NEGATIVE
10002073,7105,1.61,287.47464,46.964561,12.462,0,0,0,0,NEGATIVE
10002088,3711,0.656,287.48178,46.926601,12.803,0,0,0,0,NEGATIVE
10002106,5780,1.0,287.48853,46.990753,7.687,0,0,0,0,NEGATIVE
10002147,6496,1.344,287.50494,46.990791,10.722,0,0,0,0,NEGATIVE
10002167,5580,0.813,287.51224,46.941711,13.875,0,0,0,0,NEGATIVE
10002203,5409,0.777,287.53162,46.940762,12.112,0,0,0,0,NEGATIVE
10002247,6460,1.128,287.55383,46.927059,12.402,0,0,0,0,NEGATIVE
10002261,5780,1.0,287.55972,46.957085,8.695,0,0,0,0,NEGATIVE
10002266,5752,0.858,287.56247,46.95116,13.498,0,0,0,0,NEGATIVE
10002329,6076,0.993,287.59134,46.93829,13.992,0,0,0,0,NEGATIVE
10002341,6244,1.114,287.59784,46.998131,12.406,0,0,0,0,NEGATIVE
10002348,5882,0.973,287.60318,46.939911,13.911,0,0,0,0,NEGATIVE
10002349,5780,1.0,287.60358,46.990822,11.228,0,0,0,0,NEGATIVE
10002385,5105,8.517,287.62622,46.915081,11.453,0,0,0,0,NEGATIVE
10002396,5738,1.023,287.63129,46.911499,13.353,0,0,0,0,NEGATIVE
10004510,4539,0.608,288.72949,46.917389,11.448,0,0,0,0,NEGATIVE
10004515,6850,1.636,288.73169,46.943699,11.054,0,0,0,0,NEGATIVE
10004518,5267,0.829,288.73407,46.947651,12.564,0,0,0,0,NEGATIVE
10004537,6816,1.553,288.74298,46.987,12.063,0,0,0,0,NEGATIVE
10004546,6251,1.503,288.74701,46.93074,11.427,0,0,0,0,NEGATIVE
10004547,5780,1.0,288.74783,46.906799,12.184,0,0,0,0,NEGATIVE
10004596,4535,0.608,288.77206,46.99501,13.468,0,0,0,0,NEGATIVE
10004605,5440,0.777,288.77582,46.969528,13.683,0,0,0,0,NEGATIVE
10004653,5894,0.899,288.79733,46.901211,13.745,0,0,0,0,NEGATIVE
10004660,9397,4.22,288.79865,46.916222,11.687,0,0,0,0,NEGATIVE
10004664,5798,0.897,288.80151,46.979469,11.289,0,0,0,0,NEGATIVE
10004666,6447,1.251,288.80258,46.971241,11.757,0,0,0,0,NEGATIVE
10004688,6011,0.938,288.81366,46.94762,13.166,0,0,0,0,NEGATIVE
10004751,6486,1.275,288.84625,46.983631,12.478,0,0,0,0,NEGATIVE
10004772,5780,1.0,288.85568,46.997261,8.371,0,0,0,0,NEGATIVE
10004781,5208,0.624,288.85797,46.998459,13.694,0,0,0,0,NEGATIVE
10004783,6767,1.262,288.86002,46.964272,11.833,0,0,0,0,NEGATIVE
10004794,4923,0.598,288.86566,46.961842,13.56,0,0,0,0,NEGATIVE
10004796,5322,0.842,288.86688,46.962841,13.658,0,0,0,0,NEGATIVE
10004804,5249,0.731,288.86957,46.923161,13.715,0,0,0,0,NEGATIVE
10004825,4937,9.431,288.8812,46.958302,10.761,0,0,0,0,NEGATIVE
10004846,5780,1.0,288.89127,46.961208,12.171,0,0,0,0,NEGATIVE
10004864,6490,1.18,288.89752,46.998291,12.25,0,0,0,0,NEGATIVE
10004898,5206,1.814,288.9166,46.97448,11.73,0,0,0,0,NEGATIVE
10004907,5771,1.131,288.92175,46.900059,12.601,0,0,0,0,NEGATIVE
10004922,5695,0.895,288.92737,46.971729,13.454,0,0,0,0,NEGATIVE
10004928,6177,1.105,288.93051,46.938808,13.361,0,0,0,0,NEGATIVE
10004945,6519,1.288,288.93866,46.922661,12.152,0,0,0,0,NEGATIVE
10004962,6178,1.005,288.95099,46.990742,13.914,0,0,0,0,NEGATIVE
10004974,5760,0.861,288.95703,46.905338,13.6,0,0,0,0,NEGATIVE
10004975,4467,23.292,288.9574,46.923962,8.547,0,0,0,0,NEGATIVE
10004991,4972,12.39,288.96503,46.961868,10.247,0,0,0,0,NEGATIVE
10005020,5766,0.863,288.98038,46.95406,13.41,0,0,0,0,NEGATIVE
10005048,4860,0.686,288.99133,46.91618,13.358,0,0,0,0,NEGATIVE
10005056,6216,1.028,288.99377,46.935188,13.577,0,0,0,0,NEGATIVE
10005093,6014,0.971,289.01422,46.93222,14.162,0,0,0,0,NEGATIVE
10005119,6129,0.997,289.03409,46.986328,13.869,0,0,0,0,NEGATIVE
10005147,6464,1.415,289.05011,46.98214,10.116,0,0,0,0,NEGATIVE
10005151,5778,0.868,289.05142,46.912762,13.214,0,0,0,0,NEGATIVE
10005188,5177,0.787,289.07327,46.961868,12.678,0,0,0,0,NEGATIVE
10005217,6179,1.028,289.08826,46.987659,13.741,0,0,0,0,NEGATIVE
10005239,5347,0.874,289.1001,46.94595,13.541,0,0,0,0,NEGATIVE
10005274,6405,1.38,289.12292,46.94632,12.586,0,0,0,0,NEGATIVE
10005278,6137,0.988,289.1265,46.982208,13.58,0,0,0,0,NEGATIVE
10005321,5392,2.067,289.14899,46.940182,10.647,0,0,0,0,NEGATIVE
10005351,5780,1.0,289.16104,46.98439,8.494,0,0,0,0,NEGATIVE
10005353,6285,1.056,289.1619,46.933449,14.032,0,0,0,0,NEGATIVE
10005358,5332,0.752,289.16324,46.998989,12.624,0,0,0,0,NEGATIVE
10006244,4863,10.168,289.57996,46.997601,10.887,0,0,0,0,NEGATIVE
10006254,6044,1.166,289.58286,46.935799,13.432,0,0,0,0,NEGATIVE
10006284,5361,0.758,289.59534,46.994781,13.659,0,0,0,0,NEGATIVE
10006288,5176,0.79,289.59705,46.97472,12.248,0,0,0,0,NEGATIVE
10006329,6170,1.241,289.61761,46.95689,12.025,0,0,0,0,NEGATIVE
10006362,6191,1.404,289.62854,46.937328,11.929,0,0,0,0,NEGATIVE
10006367,6237,1.057,289.63184,46.980438,13.596,0,0,0,0,NEGATIVE
10006412,5918,0.941,289.65033,46.913639,13.484,0,0,0,0,NEGATIVE
10006472,6056,1.116,289.67825,46.928558,12.434,0,0,0,0,NEGATIVE
10006494,5886,0.916,289.6904,46.961048,12.333,0,0,0,0,NEGATIVE
10006542,5566,0.854,289.71359,46.945381,9.097,0,0,0,0,NEGATIVE
10006548,4963,10.225,289.7168,46.95364,10.473,0,0,0,0,NEGATIVE
10006553,5609,0.886,289.71985,46.937641,12.607,0,0,0,0,NEGATIVE
10006576,5045,0.825,289.72855,46.94466,13.683,0,0,0,0,NEGATIVE
10006579,4737,0.655,289.72946,46.903889,13.026,0,0,0,0,NEGATIVE
10006588,5131,0.771,289.73581,46.909069,13.841,0,0,0,0,NEGATIVE
10006627,6446,1.473,289.75223,46.970772,12.264,0,0,0,0,NEGATIVE
10006641,4955,0.707,289.75653,46.952888,12.185,0,0,0,0,NEGATIVE
10006672,6053,1.001,289.76642,46.945679,11.863,0,0,0,0,NEGATIVE
10006675,6126,0.982,289.76865,46.911331,13.77,0,0,0,0,NEGATIVE
10006714,6460,1.638,289.78629,46.91853,10.897,0,0,0,0,NEGATIVE
10006721,5214,0.803,289.79129,46.95528,12.739,0,0,0,0,NEGATIVE
10006727,5754,0.859,289.79349,46.930618,14.084,0,0,0,0,NEGATIVE
10006730,5599,0.874,289.79453,46.97435,14.043,0,0,0,0,NEGATIVE
10006734,6312,1.073,289.7973,46.9702,12.749,0,0,0,0,NEGATIVE
10006742,5428,0.831,289.80161,46.93998,14.105,0,0,0,0,NEGATIVE
10006776,5483,0.789,289.81479,46.974979,13.422,0,0,0,0,NEGATIVE
10006797,5066,7.096,289.81854,46.942661,10.877,0,0,0,0,NEGATIVE
10006828,4979,4.996,289.82965,46.98735,10.487,0,0,0,0,NEGATIVE
10006852,5278,9.976,289.83728,46.990841,8.582,0,0,0,0,NEGATIVE
10006877,5942,0.914,289.84662,46.921341,13.014,0,0,0,0,NEGATIVE
10006884,5780,1.0,289.84793,46.948788,11.545,0,0,0,0,NEGATIVE
10006923,5780,1.0,289.86966,46.930923,13.414,0,0,0,0,NEGATIVE
10006929,7300,1.614,289.87146,46.975948,12.719,0,0,0,0,NEGATIVE
10006971,5780,1.0,289.88831,46.992386,13.79,0,0,0,0,NEGATIVE
10006972,5270,0.774,289.88895,46.990261,11.108,0,0,0,0,NEGATIVE
10006982,6308,0.914,289.89215,46.987091,14.136,0,0,0,0,NEGATIVE
10006986,5629,0.826,289.89301,46.94416,13.98,0,0,0,0,NEGATIVE
10007095,5074,0.713,289.94135,46.931992,12.552,0,0,0,0,NEGATIVE
10007104,6294,1.196,289.94415,46.995811,13.807,0,0,0,0,NEGATIVE
10007129,6218,1.23,289.9537,46.973412,12.736,0,0,0,0,NEGATIVE
10007135,5780,1.0,289.95734,46.90403,14.706,0,0,0,0,NEGATIVE
10007150,4997,8.83,289.96219,46.923691,10.163,0,0,0,0,NEGATIVE
